track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,26,,611.7366059293764,675.2025037506995,,,,,600.8491415164428,722.4349371924089,,599.7812679767944,792.0169277626408,
,38,,619.8006799316197,675.2025037506995,,632.7754231146678,581.5070616365037,,611.7932419480585,726.4669741935304,,,,
,60,,652.5079468904003,668.5399123331702,,,,,640.8663681336411,712.5361012296053,,616.1349014561847,794.439688278106,
,77,,677.4334665968327,660.2314057643594,,712.0838949078617,575.4645114046414,,652.9514685973661,708.7595073346913,,,,
,84,,691.3295713546822,660.2314057643594,,,,,662.2155384359326,698.337428766304,,625.9779756596615,762.594448208034,
,104,,717.3592297853004,623.6897698906068,,806.1911215416349,592.9844738098652,,676.2315083601115,641.7729787151529,,620.9722721153119,668.4872215742606,
,120,,741.0903026855183,575.1958383119011,,,,,705.1215101516809,554.0711875621744,,645.7351307938,543.64114240355,
,125,,775.1392333684392,550.9488725225482,,823.2155868830954,634.2559049406786,,735.0432977215207,524.1493999923347,,,,
,137,,843.0259364348212,502.579596587751,,,,,812.6887143536949,458.8084482909422,,754.7781475941761,425.68799582571137,
,147,,901.4120554636975,473.93734951698156,,908.5915156517349,569.2600365877788,,871.6256458262399,427.4121390018296,,,,
,153,,934.2677797280902,459.7294687540009,,,,,915.1372806628681,408.76429550041746,,860.8932570426875,349.76463299853356,
,168,,1040.1249911922541,447.43292398796166,,1004.2907118743881,541.4591527689074,,1034.894934036468,397.0023831155104,,,,
,170,,1047.609844528104,449.0368211313581,,,,,1048.2607435647715,397.0023831155104,,1015.9366475710085,321.4291167985301,
