StartFrame,EndFrame,ID,Individual,Trial,Turn
151,188,BG63_14_1,BG63,14,1
161,192,BG63_14_2,BG63,14,2
145,193,BG63_14_3,BG63,14,3
147,183,BG63_14_4,BG63,14,4
155,193,BG63_14_5,BG63,14,5
133,180,BG63_14_6,BG63,14,6
126,182,BG63_14_7,BG63,14,7
135,193,BG63_14_8,BG63,14,8
145,198,BG63_14_9,BG63,14,9
148,193,BG63_14_10,BG63,14,10
134,188,BG63_14_11,BG63,14,11
154,187,BG63_14_12,BG63,14,12
128,180,BG63_14_13,BG63,14,13
151,193,BG63_14_14,BG63,14,14
109,167,BG63_14_15,BG63,14,15
122,173,BG63_14_16,BG63,14,16
103,160,BG63_17_1,BG63,17,1
101,162,BG63_17_2,BG63,17,2
45,168,BG63_17_3,BG63,17,3
51,167,BG63_17_4,BG63,17,4
52,194,BG63_17_5,BG63,17,5
39,206,BG63_17_6,BG63,17,6
53,206,BG63_17_7,BG63,17,7
95,206,BG63_17_8,BG63,17,8
115,174,BG63_17_9,BG63,17,9
103,196,BG63_17_10,BG63,17,10
96,158,BG63_17_11,BG63,17,11
87,169,BG63_17_12,BG63,17,12
13,174,BG63_17_13,BG63,17,13
100,179,BG63_17_14,BG63,17,14
90,150,BG63_17_15,BG63,17,15
57,157,BG63_17_16,BG63,17,16
135,184,BG64_14_1,BG64,14,1
137,179,BG64_14_2,BG64,14,2
133,187,BG64_14_3,BG64,14,3
148,187,BG64_14_4,BG64,14,4
127,184,BG64_14_5,BG64,14,5
123,174,BG64_14_6,BG64,14,6
126,190,BG64_14_7,BG64,14,7
145,198,BG64_14_8,BG64,14,8
130,182,BG64_14_9,BG64,14,9
105,157,BG64_14_10,BG64,14,10
123,173,BG64_14_11,BG64,14,11
142,186,BG64_14_12,BG64,14,12
124,171,BG64_14_13,BG64,14,13
122,164,BG64_14_14,BG64,14,14
90,148,BG64_14_15,BG64,14,15
107,165,BG64_14_16,BG64,14,16
24,175,BG64_18_1,BG64,18,1
1,144,BG64_18_2,BG64,18,2
78,176,BG64_18_3,BG64,18,3
83,192,BG64_18_4,BG64,18,4
96,182,BG64_18_5,BG64,18,5
83,147,BG64_18_6,BG64,18,6
50,197,BG64_18_7,BG64,18,7
99,175,BG64_18_8,BG64,18,8
92,153,BG64_18_9,BG64,18,9
104,155,BG64_18_10,BG64,18,10
85,185,BG64_18_11,BG64,18,11
79,177,BG64_18_12,BG64,18,12
46,132,BG64_18_13,BG64,18,13
65,165,BG64_18_14,BG64,18,14
56,168,BG64_18_15,BG64,18,15
54,172,BG64_18_16,BG64,18,16
121,240,BG65_4_1,BG65,4,1
89,257,BG65_4_2,BG65,4,2
93,257,BG65_4_3,BG65,4,3
123,215,BG65_4_4,BG65,4,4
83,236,BG65_4_5,BG65,4,5
110,246,BG65_4_6,BG65,4,6
84,227,BG65_4_7,BG65,4,7
40,204,BG65_4_8,BG65,4,8
69,218,BG65_4_9,BG65,4,9
89,235,BG65_4_10,BG65,4,10
109,248,BG65_4_11,BG65,4,11
79,251,BG65_4_12,BG65,4,12
155,252,BG65_4_13,BG65,4,13
20,198,BG65_4_14,BG65,4,14
63,224,BG65_4_15,BG65,4,15
111,247,BG65_4_16,BG65,4,16
183,251,BG65_11_1,BG65,11,1
180,228,BG65_11_2,BG65,11,2
133,211,BG65_11_3,BG65,11,3
194,246,BG65_11_4,BG65,11,4
163,215,BG65_11_5,BG65,11,5
148,219,BG65_11_6,BG65,11,6
